ID,Start time,Completion time,"In the Introductory Survey, 33% of the class responded that they had no prior experience using any sort of coding language. How would you now rate your level of confidence in using R (as it was ap...",Was R useful for creating calibration curves and calculating sample concentrations in Labs 2 and 3 (dust and field trip)?,Do you feel that R code provided in Lab 5 helped streamline the bottom-up analysis in the group projects?,"Our motivation for introducing R to the CHM410-1410 lab was both to streamline aspects of the lab analyses, and to introduce the language so that if you had the need or opportunity to use it in th...",Thanks for completing the survey!!  Anything else you would like to share with us?
12,12-10-21 15:31:41,12-10-21 16:53:57,I am reasonably confident that I could use R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,I really like this course. Nothing more to add on.
13,12-10-21 17:47:59,12-10-21 17:56:55,I would have no problem using R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,"The dust and field trip labs were very similar overall - I feel like one of them could be changed to another aspect of environmental chemistry if necessary? Not even on a different matrix or using different techniques (although there's room for that), but looking at things like partitioning or reactivity would be valuable.

The air lab was interesting, but it just didn't match the rigor or intellectual level of the remaining labs or the rest of the content.  I feel like it could be altered to make it more complex and interesting, but as it is I don't feel like I learned that much from it. "
14,12-10-21 20:48:57,12-10-21 21:05:15,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, but it took too much time and effort to get used to.","Yes, it made the bottom-up analysis much faster.",Yes,"I wanted to say thank you to Professor De'on and her TAs. Course was absolutely fantastic in its material and the way it was taught. Really appreciated the extensions - showed that the professor cared more about students learning than strict logistics. The in-person labs were also really enjoyable! The suggestions I have for this course are:

1. Spend the first couple of weeks doing overview on organic chemistry as well as what this course is about. Perhaps just describing the whole process from extraction -> LC/GC -> MS without going into too much detail. I was only able to see the big picture maybe 2/3s into the semester. I think I would have understood much more if I had the larger framework in mind from the beginning.
2. The timing of the labs was not always the most efficient. For example, we would be focusing on Lab 4 things when Lab 3 report was due in that week. For me, with my mind all wrapped up in Lab 3, I didn't have the time to even look over Lab 4 so I came very unprepared to that lab and wasn't able to take as much advantage of that time. I would recommend having less overlap between the different labs (i do realize that it is difficult since these labs take a long stretch of time).
3. As mentioned above, perhaps downgrade the Lab 5 deliverable from a full-out paper to a less-demanding mini report similar to Lab 2, where we can focus more on the content instead of worrying about formatting, little details, etc. I really did like how the course made you write actual research papers because I think it was a great skill to learn. But doing it twice was difficult with everything else that was due.

But none of the above are complaints! Just my personal feedback on helping the course be better. Thank you again Professor for all your help! And for being so available with office hours and everything. All the best!"
15,12-11-21 17:05:44,12-11-21 17:15:51,I am reasonably confident that I could use R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,-
16,12-11-21 19:28:29,12-11-21 19:36:32,I am reasonably confident that I could use R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,"Great course, a lot of interesting material covered. "
17,12-11-21 20:23:40,12-11-21 20:42:49,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Somewhat,The pre-lab videos were so useful so please keep them for the future.
18,12-12-21 13:53:00,12-12-21 14:03:53,I am reasonably confident that I could use R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,I thoroughly enjoyed the course content and the experience!
19,12-12-21 16:14:21,12-12-21 16:25:44,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, and I would have liked the opportunity to learn more advanced code for this type of analysis.",Yes,That's all
20,12-12-21 22:15:48,12-12-21 22:38:57,I am reasonably confident that I could use R in the future to do calculations or make simple plots.,"Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,"Overall, I really enjoyed this course, in fact I would say it has been my favourite course I have taken during my Undergrad up until this point!"
21,12-13-21 0:47:57,12-13-21 0:54:22,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,"I think R coding helped streamline a lot of the data analysis parts and it was really helpful, but since we werent the one writing the code, the moment a line went wrong it was extremely hard to figure out where or why it went wrong. "
22,12-14-21 19:50:03,12-14-21 19:58:33,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, but it took too much time and effort to get used to.","Yes, it made the bottom-up analysis much faster.",Yes,N/A
23,12-15-21 4:50:09,12-15-21 5:04:01,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, but it took too much time and effort to get used to.","Yes, and I would have liked the opportunity to learn more advanced code for this type of analysis.",Yes,"Well designed course, the R coding is interesting, I wish there more support on the coding as the code might not work for some situations. The chemistry content is good. More data analysis information can also be included. "
24,12-15-21 19:44:26,12-15-21 21:04:35,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, and I would have liked the opportunity to learn more advanced code for this type of analysis.",Somewhat,"I really enjoyed this course and labs this semester, but the workload of this course was a little bit heavy for me."
25,12-15-21 20:52:24,12-15-21 21:15:47,"With some help, I feel I could use R in the future to do calculations or make simple plots.","Yes, I found R greatly streamlined the data analysis component of those labs.","Yes, it made the bottom-up analysis much faster.",Yes,Very thing was great. Thank you:)
